"ETA ID","VESSEL ID","PLACE ID","ETA","TERMINAL","VOYAGE","ETA SOURCE","RECORD CREATED","RECORD LAST UPDATED"
282781252,11596128,4827,"23/02/2018 03:00","","","AIS","22/02/2018 00:06:01","22/02/2018 00:06:01"
282665817,11596191,9757,"19/02/2018 22:00","","","AIS","19/02/2018 16:04:04","19/02/2018 16:04:05"
282751319,11596191,2842,"21/02/2018 12:30","","","AIS","21/02/2018 11:06:04","21/02/2018 11:06:05"
282679590,11596209,4827,"20/02/2018 00:30","","","AIS","20/02/2018 04:03:04","20/02/2018 04:03:04"
282756812,11596209,2886,"27/02/2018 01:00","","","AIS","21/02/2018 18:05:00","21/02/2018 18:05:02"
282753846,11596228,2304,"22/02/2018 02:00","","","AIS","21/02/2018 14:05:01","21/02/2018 14:05:01"
282739667,11596231,3464,"21/02/2018 06:00","","","AIS","21/02/2018 03:11:00","21/02/2018 03:11:00"
282721895,11596231,3464,"21/02/2018 18:00","","","LAN","20/02/2018 23:45:00","20/02/2018 23:45:00"
282675829,11596608,1165,"06/03/2018 06:00","","","AIS","19/02/2018 23:04:01","19/02/2018 23:04:02"
282748862,11596609,502,"21/02/2018 13:00","","","AIS","21/02/2018 08:08:04","21/02/2018 08:08:04"
282793706,11596609,1872,"23/02/2018 10:00","","","AIS","22/02/2018 08:09:02","22/02/2018 08:09:03"
282721892,11596652,3464,"20/02/2018 05:00","","","LAN","20/02/2018 23:45:00","20/02/2018 23:45:00"
282676812,11596652,3464,"21/02/2018 07:15","","","LAN","20/02/2018 01:03:03","20/02/2018 01:03:03"
282739643,11596669,4005,"22/02/2018 22:00","","","AIS","21/02/2018 03:10:00","21/02/2018 03:10:00"
282786104,11596669,5363,"24/02/2018 06:00","","","AIS","22/02/2018 06:07:04","22/02/2018 06:07:04"
282771184,11596669,5363,"24/02/2018 11:02","","","LAN","21/02/2018 23:49:02","21/02/2018 23:49:02"
282739322,11596670,1483,"21/02/2018 05:00","","","AIS","21/02/2018 02:09:02","21/02/2018 02:09:02"
282751013,11596950,6202,"09/03/2018 01:00","","","AIS","21/02/2018 11:06:04","21/02/2018 11:06:04"
282740465,11617176,772,"22/02/2018 05:00","","","AIS","21/02/2018 04:12:04","21/02/2018 04:12:04"
282715275,11620184,3725,"21/02/2018 08:00","","","AIS","20/02/2018 22:05:00","20/02/2018 22:05:00"
282712285,11628169,6464,"21/02/2018 11:00","","","AIS","20/02/2018 19:07:01","20/02/2018 19:07:01"
282709853,11628188,5260,"21/02/2018 22:00","","","AIS","20/02/2018 15:12:04","20/02/2018 15:12:05"
282682665,11628268,6166,"20/02/2018 18:00","","","AIS","20/02/2018 07:05:01","20/02/2018 07:05:02"
282786140,11632374,2957,"24/02/2018 22:00","","","AIS","22/02/2018 06:07:04","22/02/2018 06:07:04"
282712157,11642531,10660,"23/02/2018 23:00","","","AIS","20/02/2018 18:05:02","20/02/2018 18:05:03"
282743005,11648755,2957,"21/02/2018 01:00","","","AIS","21/02/2018 07:08:04","21/02/2018 07:08:05"
282757251,11648755,3983,"22/02/2018 11:00","","","AIS","21/02/2018 19:04:04","21/02/2018 19:04:04"
282781180,11651857,3923,"22/02/2018 17:00","","","AIS","22/02/2018 00:06:01","22/02/2018 00:06:01"
282798777,11651890,8849,"20/02/2018 17:00","","","AIS","22/02/2018 14:03:02","22/02/2018 14:03:02"
282760188,11651890,3529,"21/02/2018 17:00","","","LAN","21/02/2018 23:38:00","21/02/2018 23:38:00"
282665580,11652069,4538,"19/02/2018 16:53","","","AIS","19/02/2018 16:04:04","19/02/2018 16:04:05"
282706526,11652069,576,"20/02/2018 16:53","","","AIS","20/02/2018 11:05:03","20/02/2018 11:05:04"
282707391,11672568,4572,"20/02/2018 06:30","","","AIS","20/02/2018 12:05:02","20/02/2018 12:05:02"
282796763,11672587,576,"21/02/2018 14:30","","","LAN","22/02/2018 10:11:00","22/02/2018 10:11:01"
282794072,11672587,576,"22/02/2018 11:00","","","AIS","22/02/2018 09:11:01","22/02/2018 09:11:02"
282776717,11672592,3824,"21/02/2018 20:00","","","LAN","21/02/2018 23:52:03","21/02/2018 23:52:03"
282777140,11672592,448,"25/02/2018 14:00","","","LAN","21/02/2018 23:52:03","21/02/2018 23:52:03"
282761215,11672592,1534,"01/03/2018 05:00","","","LAN","21/02/2018 23:39:00","21/02/2018 23:39:01"
282777535,11672592,448,"04/03/2018 23:00","","","LAN","21/02/2018 23:52:03","21/02/2018 23:52:03"
282665152,11686212,2957,"22/02/2018 07:00","","","AIS","19/02/2018 15:04:01","19/02/2018 15:04:01"
282797984,11693266,5493,"23/02/2018 06:50","","","AIS","22/02/2018 12:03:00","22/02/2018 12:03:01"
282797381,11696394,1077,"22/02/2018 13:00","","","AIS","22/02/2018 11:04:02","22/02/2018 11:04:02"
282710673,11696539,7603,"22/02/2018 12:00","","","AIS","20/02/2018 17:06:00","20/02/2018 17:06:03"
282793860,11696542,4637,"07/03/2018 12:00","","","AIS","22/02/2018 08:09:02","22/02/2018 08:09:03"
282764140,11696547,1504,"23/02/2018 23:59","","","LAN","21/02/2018 23:43:01","21/02/2018 23:43:05"
282680214,11696553,2567,"20/02/2018 04:10","","","AIS","20/02/2018 05:04:02","20/02/2018 05:04:03"
282779474,11696553,5094,"26/02/2018 00:01","","","LAN","21/02/2018 23:54:03","21/02/2018 23:54:03"
282800352,11696553,5094,"27/02/2018 00:00","","","AIS","22/02/2018 15:04:01","22/02/2018 15:04:01"
282780101,11696553,5094,"27/02/2018 04:00","","","LAN","21/02/2018 23:54:03","21/02/2018 23:54:03"
282781183,11696709,576,"22/02/2018 02:30","","","AIS","22/02/2018 00:06:01","22/02/2018 00:06:01"
282697595,11696712,1534,"21/02/2018 17:00","","","LAN","20/02/2018 10:04:00","20/02/2018 10:04:00"
282794858,11696712,3464,"27/02/2018 18:00","","","LAN","22/02/2018 09:40:03","22/02/2018 09:40:10"
282755001,11696713,4908,"21/02/2018 23:15","","","AIS","21/02/2018 16:05:03","21/02/2018 16:05:04"
282685044,11696715,3464,"21/02/2018 06:00","","","AIS","20/02/2018 09:27:00","20/02/2018 09:27:01"
282782484,11696715,3464,"22/02/2018 17:00","","","LAN","22/02/2018 01:03:04","22/02/2018 01:03:10"
282754887,11696718,5708,"13/03/2018 12:00","","","AIS","21/02/2018 16:05:03","21/02/2018 16:05:03"
282680173,11696722,1504,"20/02/2018 18:00","","","AIS","20/02/2018 05:04:02","20/02/2018 05:04:03"
282761739,11696722,1504,"21/02/2018 23:59","","","LAN","21/02/2018 23:39:00","21/02/2018 23:39:02"
282799056,11696724,1504,"26/02/2018 22:00","","","AIS","22/02/2018 14:03:02","22/02/2018 14:03:03"
282750483,11696896,730,"21/02/2018 12:00","","","AIS","21/02/2018 10:05:00","21/02/2018 10:05:00"
282793744,11696898,830,"23/02/2018 08:00","","","AIS","22/02/2018 08:09:02","22/02/2018 08:09:03"
282709884,11696899,7501,"05/03/2018 13:00","","","AIS","20/02/2018 15:12:04","20/02/2018 15:12:05"
282798849,11696900,4572,"07/03/2018 10:00","","","AIS","22/02/2018 14:03:02","22/02/2018 14:03:03"
282706455,11719734,4536,"20/02/2018 14:00","","","AIS","20/02/2018 11:05:03","20/02/2018 11:05:04"
282777119,11719990,3647,"02/03/2018 07:00","","","LAN","21/02/2018 23:52:03","21/02/2018 23:52:03"
282752356,11719992,1803,"25/02/2018 12:00","","","AIS","21/02/2018 13:10:03","21/02/2018 13:10:04"
282712286,11744670,1791,"23/02/2018 06:00","","","AIS","20/02/2018 19:07:01","20/02/2018 19:07:01"
282677184,11744670,1791,"23/02/2018 15:00","","","LAN","20/02/2018 01:03:03","20/02/2018 01:03:03"
282781856,11744671,4743,"24/02/2018 11:00","","","LAN","22/02/2018 01:03:04","22/02/2018 01:03:09"
282779481,11744675,1831,"24/02/2018 13:00","","","LAN","21/02/2018 23:54:03","21/02/2018 23:54:03"
282709887,11744675,1831,"24/02/2018 15:00","","","AIS","20/02/2018 15:12:04","20/02/2018 15:12:05"
282779483,11744675,1831,"24/02/2018 18:00","","","LAN","21/02/2018 23:54:03","21/02/2018 23:54:03"
282779489,11744675,1831,"25/02/2018 18:00","","","LAN","21/02/2018 23:54:03","21/02/2018 23:54:03"
282799370,11744675,576,"26/02/2018 00:00","","","LAN","22/02/2018 14:21:01","22/02/2018 14:21:01"
282738555,11744677,1791,"23/02/2018 23:00","","","LAN","21/02/2018 01:05:04","21/02/2018 01:05:05"
282786450,11744679,576,"22/02/2018 22:00","","","AIS","22/02/2018 06:08:04","22/02/2018 06:08:04"
282799969,11744679,576,"22/02/2018 23:00","","","LAN","22/02/2018 14:21:01","22/02/2018 14:21:02"
282799971,11744680,576,"22/02/2018 23:00","","","LAN","22/02/2018 14:21:01","22/02/2018 14:21:02"
282671668,11744854,5157,"03/03/2018 17:00","","","AIS","19/02/2018 21:04:00","19/02/2018 21:04:01"
