"VESSEL ID","RELATIONSHIP TYPE","CURRENT IND","COMPANY ID","COMPANY NAME","START DATE","START QUALIFIER","END DATE","END QUALIFIER","RECORD LAST UPDATED"
236434,"BO","",13912,"Mediterranea di Navigazione S.p.A.","12/01/1994","","04/12/2013","B","21/02/2018"
236434,"CO","",13912,"Mediterranea di Navigazione S.p.A.","12/01/1994","","04/12/2013","B","21/02/2018"
60373,"BO","",492993,"Messiniaki L Naftiki Eteria","13/11/2015","B","01/02/2018","B","22/02/2018"
60373,"CO","",492993,"Messiniaki L Naftiki Eteria","13/11/2015","B","01/02/2018","B","22/02/2018"
60373,"TM","",492993,"Messiniaki L Naftiki Eteria","13/11/2015","B","01/02/2018","B","22/02/2018"
151757,"RO","",48624,"Bergen Tankers AS","21/12/1996","A","04/11/2003","B","22/02/2018"
151757,"TP","",96644,"Dimitra Idiki Anonimos Naftiliaki Eteria","05/02/2004","","31/12/2008","B","22/02/2018"
151757,"BO","Y",55250,"Mamidoil-Jetoil S.A.","05/11/2003","B","","","22/02/2018"
151757,"CO","Y",7837,"Jet Tank Maritime Company","05/11/2003","B","","","22/02/2018"
390566,"TP","Y",67021,"Shell International Trading & Shipping Company Limited (STASCO)","01/05/2017","A","","","21/02/2018"
390566,"TM","Y",2927,"Chandris (Hellas) Incorporated","11/03/2009","B","","","21/02/2018"
390566,"BO","Y",28728,"Chandris Hellas Group","29/05/2015","B","","","21/02/2018"
390566,"CO","Y",2927,"Chandris (Hellas) Incorporated","29/05/2015","B","","","21/02/2018"
390566,"BO","",28728,"Chandris Hellas Group","11/03/2009","B","10/09/2011","B","21/02/2018"
390566,"CO","",2927,"Chandris (Hellas) Incorporated","11/03/2009","B","10/09/2011","B","21/02/2018"
390566,"BO","",28728,"Chandris Hellas Group","11/09/2011","B","28/05/2015","B","21/02/2018"
390566,"CO","",2927,"Chandris (Hellas) Incorporated","11/09/2011","B","28/05/2015","B","21/02/2018"
