"VESSEL ID","PSC ID","EVENT TYPE","INSPECTION PLACE","INITIAL DATE","INITIAL DATE QUALIFIER","FINAL DATE","FINAL DATE QUALIFIER","DETENTION IND","DEFICIENCIES IND","INSPECTION PRECIS","RECORD LAST UPDATED"
307962,15306310,"PSC","Chornomorsk","09/01/2018","","","","N","N","","20/02/2018"
10996610,15306317,"PSC","Dneprobugskiy","09/01/2018","","","","N","N","","20/02/2018"
357532,15306320,"PSC","Nikolayev","09/01/2018","","","","N","N","","20/02/2018"
268334,15306325,"PSC","Tuapse","09/01/2018","","","","Y","N","","20/02/2018"
12247567,15306326,"PSC","Novorossiysk","09/01/2018","","","","N","N","","20/02/2018"
355959,15306329,"PSC","Novorossiysk","07/01/2018","","","","Y","N","","20/02/2018"
10996606,15306333,"PSC","Novorossiysk","04/01/2018","","","","Y","N","","20/02/2018"
1350568,15306334,"PSC","Novorossiysk","03/01/2018","","","","Y","N","","20/02/2018"
1405959,15306335,"PSC","Novorossiysk","03/01/2018","","","","Y","N","","20/02/2018"
9516053,15306336,"PSC","Novorossiysk","03/01/2018","","","","Y","N","","20/02/2018"
10998256,15306338,"PSC","Novorossiysk","01/01/2018","","","","Y","N","","20/02/2018"
221055,15323693,"PSC","Batumi","22/01/2018","","","","N","N","","20/02/2018"
154617,15323698,"PSC","Poti","22/01/2018","","","","Y","N","","20/02/2018"
271082,15323700,"PSC","Novorossiysk","21/01/2018","","","","Y","N","","20/02/2018"
7327598,15323701,"PSC","Novorossiysk","21/01/2018","","","","Y","N","","20/02/2018"
355728,15323702,"PSC","Tuapse","21/01/2018","","","","Y","N","","20/02/2018"
12237686,15323703,"PSC","Novorossiysk","21/01/2018","","","","N","N","","20/02/2018"
10095014,15323705,"PSC","Novorossiysk","20/01/2018","","","","Y","N","","20/02/2018"
276721,15323707,"PSC","Novorossiysk","20/01/2018","","","","N","N","","20/02/2018"
153343,15323709,"PSC","Constantza","20/01/2018","","","","Y","N","","20/02/2018"
12107805,15323710,"PSC","Nikolayev","19/01/2018","","","","Y","N","","20/02/2018"
3608211,15323711,"PSC","Yuzhnyy","19/01/2018","","","","N","N","","20/02/2018"
321762,15323713,"PSC","Nikolayev","19/01/2018","","","","N","N","","20/02/2018"
388678,15323714,"PSC","Novorossiysk","19/01/2018","","","","Y","N","","20/02/2018"
762537,15323719,"PSC","Chornomorsk","18/01/2018","","","","N","N","","20/02/2018"
1067514,15323720,"PSC","Odessa","18/01/2018","","","","Y","N","","20/02/2018"
356018,15323721,"PSC","Odessa","18/01/2018","","","","N","N","","20/02/2018"
273959,15323724,"PSC","Kherson","18/01/2018","","","","N","N","","20/02/2018"
278070,15323728,"PSC","Batumi","18/01/2018","","","","Y","N","","20/02/2018"
4534131,15323729,"PSC","Odessa","17/01/2018","","","","N","N","","20/02/2018"
10095011,15323731,"PSC","Yuzhnyy","17/01/2018","","","","Y","N","","20/02/2018"
344422,15323732,"PSC","Nikolayev","17/01/2018","","","","N","N","","20/02/2018"
319247,15323737,"PSC","Trabzon","17/01/2018","","","","Y","N","","20/02/2018"
363204,15323739,"PSC","Novorossiysk","17/01/2018","","","","Y","N","","20/02/2018"
10093748,15323740,"PSC","Novorossiysk","17/01/2018","","","","Y","N","","20/02/2018"
373493,15323742,"PSC","Kulevi","17/01/2018","","","","N","N","","20/02/2018"
351041,15323743,"PSC","Nikolayev","16/01/2018","","","","N","N","","20/02/2018"
9178254,15323744,"PSC","Chornomorsk","16/01/2018","","","","Y","N","","20/02/2018"
11176662,15323746,"PSC","Nikolayev","16/01/2018","","","","N","N","","20/02/2018"
10998803,15323748,"PSC","Novorossiysk","16/01/2018","","","","N","N","","20/02/2018"
288278,15323749,"PSC","Tuapse","16/01/2018","","","","Y","N","","20/02/2018"
276721,15323750,"PSC","Novorossiysk","16/01/2018","","","","Y","N","","20/02/2018"
612820,15323752,"PSC","Novorossiysk","16/01/2018","","","","N","N","","20/02/2018"
12077846,15323754,"PSC","Tuapse","16/01/2018","","","","Y","N","","20/02/2018"
10580421,15323757,"PSC","Chornomorsk","15/01/2018","","","","N","N","","20/02/2018"
253432,15323758,"PSC","Yuzhnyy","15/01/2018","","","","Y","N","","20/02/2018"
366430,15323759,"PSC","Novorossiysk","15/01/2018","","","","Y","N","","20/02/2018"
11872528,15323760,"PSC","Novorossiysk","15/01/2018","","","","N","N","","20/02/2018"
10328059,15323938,"PSC","St. Eustatius","11/01/2018","","","","Y","N","","22/02/2018"
352414,15323939,"PSC","St. Eustatius","09/01/2018","","","","Y","N","","22/02/2018"
311523,15341222,"PSC","Tuapse","26/01/2018","","","","Y","Y","","20/02/2018"
280843,15341223,"PSC","Novorossiysk","26/01/2018","","28/01/2018","","Y","Y","","20/02/2018"
111565,15341226,"PSC","Novorossiysk","23/01/2018","","24/01/2018","","Y","Y","","20/02/2018"
12722588,15341232,"PSC","Zonguldak","29/01/2018","","","","N","N","","20/02/2018"
210541,15341236,"PSC","Varna","29/01/2018","","","","Y","N","","20/02/2018"
12254748,15341237,"PSC","Zonguldak","29/01/2018","","","","N","N","","20/02/2018"
12235567,15341238,"PSC","Taman","29/01/2018","","","","N","N","","20/02/2018"
332295,15341239,"PSC","Novorossiysk","28/01/2018","","","","N","N","","20/02/2018"
12590654,15341240,"PSC","Kulevi","27/01/2018","","","","N","N","","20/02/2018"
10529954,15341242,"PSC","Novorossiysk","26/01/2018","","","","Y","N","","20/02/2018"
10083575,15341243,"PSC","Novorossiysk","26/01/2018","","","","N","N","","20/02/2018"
285021,15341244,"PSC","Novorossiysk","26/01/2018","","","","Y","N","","20/02/2018"
378045,15341246,"PSC","Novorossiysk","26/01/2018","","","","N","N","","20/02/2018"
7286583,15341248,"PSC","Taman","26/01/2018","","","","Y","N","","20/02/2018"
12235971,15341249,"PSC","Taman","26/01/2018","","","","N","N","","20/02/2018"
10308630,15341250,"PSC","Odessa","25/01/2018","","","","N","N","","20/02/2018"
350435,15341252,"PSC","Nikolayev","25/01/2018","","","","N","N","","20/02/2018"
279032,15341254,"PSC","Novorossiysk","25/01/2018","","","","Y","N","","20/02/2018"
311542,15341255,"PSC","Novorossiysk","25/01/2018","","","","Y","N","","20/02/2018"
1404674,15341258,"PSC","Novorossiysk","25/01/2018","","","","Y","N","","20/02/2018"
12759805,15341259,"PSC","Tuapse","25/01/2018","","","","Y","N","","20/02/2018"
11030647,15341260,"PSC","Kulevi","25/01/2018","","","","N","N","","20/02/2018"
10459359,15341261,"PSC","Taman","25/01/2018","","","","N","N","","20/02/2018"
217751,15341262,"PSC","Kerch","25/01/2018","","","","Y","N","","20/02/2018"
351385,15341264,"PSC","Odessa","24/01/2018","","","","N","N","","20/02/2018"
12257680,15341265,"PSC","Odessa","24/01/2018","","","","N","N","","20/02/2018"
1073314,15341268,"PSC","Chornomorsk","24/01/2018","","","","N","N","","20/02/2018"
12222981,15341269,"PSC","Chornomorsk","24/01/2018","","","","N","N","","20/02/2018"
8845395,15341270,"PSC","Nikolayev","24/01/2018","","","","Y","N","","20/02/2018"
747708,15341272,"PSC","Novorossiysk","24/01/2018","","","","Y","N","","20/02/2018"
10996610,15341276,"PSC","Tuapse","24/01/2018","","","","Y","N","","20/02/2018"
345789,15341277,"PSC","Taman","24/01/2018","","","","N","N","","20/02/2018"
276143,15341279,"PSC","Yuzhnyy","23/01/2018","","","","Y","N","","20/02/2018"
308466,15341280,"PSC","Yuzhnyy","23/01/2018","","","","Y","N","","20/02/2018"
372366,15341281,"PSC","Yuzhnyy","23/01/2018","","","","N","N","","20/02/2018"
12035061,15341283,"PSC","Poti","23/01/2018","","","","N","N","","20/02/2018"
11929704,15341284,"PSC","Nikolayev","23/01/2018","","","","N","N","","20/02/2018"
276229,15341285,"PSC","Tuapse","23/01/2018","","","","Y","N","","20/02/2018"
390218,15341287,"PSC","Taman","23/01/2018","","","","Y","N","","20/02/2018"
251436,15341288,"PSC","Hopa","23/01/2018","","","","Y","N","","20/02/2018"
10517953,15341289,"PSC","Tuapse","23/01/2018","","","","Y","N","","20/02/2018"
351696,15341290,"PSC","Taman","23/01/2018","","","","N","N","","20/02/2018"
12223036,15341292,"PSC","Yuzhnyy","22/01/2018","","","","N","N","","20/02/2018"
390856,15341293,"PSC","Novorossiysk","22/01/2018","","","","Y","N","","20/02/2018"
282713,15341296,"PSC","Yuzhnyy","22/01/2018","","","","N","N","","20/02/2018"
307117,15341297,"PSC","Nikolayev","22/01/2018","","","","Y","N","","20/02/2018"
