"VESSEL ID","FLAG ID","FLAG CODE","CURRENT IND","START DATE","START QUALIFIER","END DATE","END QUALIFIER","RECORD LAST UPDATED"
351349,202305,"GRC","Y","01/01/2004","B","","","20/02/2018"
351950,197871,"GRC","Y","01/08/2003","B","","","20/02/2018"
353312,10606551,"GRC","Y","28/07/2011","B","","","20/02/2018"
353313,10655697,"GRC","Y","01/12/2011","B","","","20/02/2018"
353655,473987,"GRC","Y","06/09/2007","B","","","20/02/2018"
353670,232807,"GRC","Y","07/11/2005","A","","","20/02/2018"
354631,202301,"GRC","Y","01/01/2004","B","","","20/02/2018"
354704,12350092,"GRC","Y","24/03/2016","B","","","20/02/2018"
355972,12470319,"BHS","","18/07/2016","B","20/02/2018","B","21/02/2018"
355972,12574331,"PAN","Y","21/02/2018","B","","","21/02/2018"
356660,433755,"GRC","Y","27/08/2007","B","","","20/02/2018"
359663,12344335,"GRC","Y","21/02/2016","B","","","20/02/2018"
361521,1554019,"GRC","Y","29/11/2007","B","","","20/02/2018"
362417,224809,"GRC","Y","01/07/2005","A","","","20/02/2018"
366078,276856,"MLT","","02/02/2005","","20/02/2018","B","22/02/2018"
366078,12574421,"LBR","Y","21/02/2018","B","","","22/02/2018"
374766,236785,"PAN","","03/09/2008","","19/02/2018","B","20/02/2018"
374766,12574224,"MHL","Y","20/02/2018","B","","","20/02/2018"
390564,246138,"GRC","Y","01/01/2006","B","","","20/02/2018"
390566,246140,"GRC","Y","01/01/2006","B","","","20/02/2018"
407563,258876,"PAN","","16/02/2009","","18/02/2018","B","20/02/2018"
407563,12574225,"MHL","Y","19/02/2018","B","","","20/02/2018"
423185,6421444,"GIB","","01/06/2006","B","20/02/2018","B","21/02/2018"
423185,12574329,"MHL","Y","21/02/2018","B","","","21/02/2018"
548475,274497,"GRC","Y","01/07/2006","B","","","20/02/2018"
548495,274499,"GRC","Y","01/07/2006","B","","","20/02/2018"
548496,274500,"GRC","Y","01/07/2006","B","","","20/02/2018"
548497,274501,"GRC","Y","01/07/2006","B","","","20/02/2018"
574964,276360,"GRC","Y","01/06/2009","B","","","21/02/2018"
610821,322437,"GRC","Y","15/11/2006","B","","","20/02/2018"
610929,322545,"GRC","Y","15/11/2006","B","","","20/02/2018"
611134,322750,"GRC","Y","01/08/2006","B","","","20/02/2018"
627583,9217399,"GRC","Y","25/03/2009","B","","","20/02/2018"
627584,9467747,"GRC","Y","25/05/2009","B","","","20/02/2018"
627601,9676424,"GRC","Y","28/07/2009","B","","","20/02/2018"
727294,11980625,"GRC","Y","24/05/2014","B","","","20/02/2018"
744065,370613,"GRC","Y","01/03/2007","B","","","20/02/2018"
749616,9158700,"GRC","Y","05/12/2008","","","","20/02/2018"
749618,9751018,"GRC","Y","21/10/2009","B","","","20/02/2018"
749630,11994780,"GRC","Y","08/08/2014","B","","","20/02/2018"
749838,377413,"GRC","Y","01/01/2007","B","","","20/02/2018"
754510,382984,"GRC","Y","14/09/2010","B","","","20/02/2018"
755527,9435402,"CYM","","01/05/2007","B","09/01/2018","B","20/02/2018"
755527,12569892,"MLT","Y","10/01/2018","B","","","20/02/2018"
755745,384315,"GRC","Y","01/03/2007","B","","","20/02/2018"
755750,384320,"GRC","Y","01/02/2007","B","","","20/02/2018"
755754,384324,"GRC","Y","01/02/2007","B","","","20/02/2018"
756460,385065,"GRC","Y","03/07/2010","B","","","20/02/2018"
756481,385087,"PAN","","20/10/2009","","20/02/2018","B","21/02/2018"
756481,12574322,"MHL","Y","21/02/2018","B","","","21/02/2018"
756739,385428,"GRC","Y","02/04/2006","B","","","20/02/2018"
756788,385426,"GRC","Y","01/03/2007","B","","","20/02/2018"
762295,7915737,"GRC","Y","29/07/2008","B","","","20/02/2018"
937751,11877337,"GRC","Y","01/10/2013","B","","","20/02/2018"
1068656,698874,"GRC","Y","01/07/2007","B","","","20/02/2018"
1068662,9344362,"GRC","Y","23/04/2009","B","","","20/02/2018"
1098377,728722,"GRC","Y","01/08/2007","B","","","20/02/2018"
1264820,12525581,"TUV","","05/04/2017","B","21/02/2018","B","22/02/2018"
1264820,12574423,"HKG","Y","22/02/2018","B","","","22/02/2018"
1753246,1384546,"GRC","Y","01/03/1990","A","","","21/02/2018"
1925496,11977289,"GRC","Y","07/05/2014","B","","","20/02/2018"
3414693,6925964,"GRC","Y","20/06/2008","B","","","20/02/2018"
3970868,11928012,"GRC","Y","22/10/2013","B","","","20/02/2018"
6761103,6363947,"SGP","","30/04/2008","A","22/06/2017","B","20/02/2018"
6761103,12574260,"KIR","","23/06/2017","B","23/08/2017","B","20/02/2018"
6761103,12574259,"IDN","Y","24/08/2017","B","","","20/02/2018"
7163161,6766248,"PAN","","15/04/2008","","20/02/2018","B","21/02/2018"
7163161,12574327,"VEN","Y","21/02/2018","B","","","21/02/2018"
7172710,6775800,"GRC","Y","15/03/2012","B","","","20/02/2018"
9336446,8942866,"GRC","Y","09/12/2008","B","","","20/02/2018"
9456082,9063562,"GRC","Y","01/01/1998","B","","","21/02/2018"
9561615,9169782,"GRC","Y","15/04/2011","B","","","20/02/2018"
9635799,12531620,"MHL","","02/06/2017","B","28/01/2018","B","20/02/2018"
9635799,12571962,"MLT","Y","29/01/2018","B","","","20/02/2018"
9778028,9454502,"GRC","Y","31/12/2004","B","","","20/02/2018"
10042836,9723517,"SGP","","07/07/2009","","22/06/2017","B","20/02/2018"
10042836,12574262,"KIR","","23/06/2017","B","23/08/2017","B","20/02/2018"
10042836,12574261,"IDN","Y","24/08/2017","B","","","20/02/2018"
10062050,9743488,"SGP","","02/08/2009","","22/06/2017","B","20/02/2018"
10062050,12574263,"KIR","","23/06/2017","B","23/08/2017","B","20/02/2018"
10062050,12574264,"IDN","Y","24/08/2017","B","","","20/02/2018"
10247609,9896164,"GRC","Y","01/04/2010","B","","","20/02/2018"
10307311,9956942,"GRC","Y","01/03/2010","A","","","20/02/2018"
